FurLength,Breed1,Breed2,Color2,Type,Sterilized,Vaccinated,Gender,State,Color3,Color1,Age,Health,MaturitySize,Fee,VideoAmt,Dewormed,PhotoAmt
1,42,0,7,1,1,1,2,41326,0,1,12,1,1,250,0,1,3.0
2,39,141,5,1,1,2,2,41401,7,4,18,1,2,100,0,1,2.0
1,266,0,5,2,2,2,2,41326,7,2,3,1,2,0,0,2,8.0
2,307,0,2,1,2,2,2,41327,7,1,1,1,2,0,0,2,1.0
1,307,0,2,1,2,2,2,41401,0,1,3,1,2,0,0,2,1.0
1,266,0,0,2,3,3,2,41401,0,3,12,1,2,0,0,3,2.0
2,307,0,0,1,2,2,2,41326,0,7,3,1,2,0,1,2,30.0
1,266,0,7,2,2,2,1,41326,0,5,24,2,2,0,0,1,6.0
2,307,307,2,1,2,2,2,41326,7,1,2,1,2,0,0,1,4.0
1,266,0,0,2,1,1,2,41401,0,5,4,1,2,100,0,1,1.0
3,264,299,6,2,2,2,2,41326,7,2,2,1,2,0,0,2,13.0
1,307,78,2,1,2,1,1,41326,5,1,2,1,2,200,0,1,8.0
2,265,265,0,2,2,2,1,41401,0,4,6,1,2,0,0,2,1.0
1,307,0,7,1,2,2,1,41326,0,2,2,1,2,0,0,2,2.0
1,283,0,7,2,3,3,1,41327,0,1,2,1,1,0,0,3,1.0
2,266,0,6,2,3,3,1,41401,7,1,36,1,2,0,0,3,2.0
2,307,117,2,1,1,1,2,41326,0,1,8,1,2,0,0,1,5.0
2,299,265,2,2,2,2,2,41326,5,1,3,1,2,0,0,1,5.0
1,299,266,2,2,1,3,1,41401,3,1,24,2,2,0,0,3,2.0
2,75,192,0,1,1,1,2,41326,0,1,7,1,2,0,0,1,3.0
2,307,0,0,1,2,2,2,41326,0,5,1,1,2,0,0,2,3.0
1,141,192,7,1,2,1,2,41326,0,2,3,1,3,0,0,1,5.0
2,178,0,0,1,3,3,1,41326,0,2,12,1,1,0,0,3,1.0
1,307,307,5,1,2,2,3,41326,7,2,4,1,2,0,0,2,6.0
1,307,0,0,1,2,2,1,41401,0,1,3,1,2,0,0,1,7.0
2,299,0,6,2,2,3,3,41326,7,3,1,1,2,0,0,3,2.0
3,109,0,0,1,2,1,2,41326,0,3,60,1,3,0,0,1,1.0
2,266,0,7,2,2,2,2,41336,0,1,12,1,2,0,0,2,2.0
1,189,0,2,1,1,1,2,41326,0,1,11,1,3,400,0,1,7.0
1,307,0,0,1,2,2,1,41324,0,2,1,1,2,0,0,2,4.0
1,266,0,7,2,2,1,1,41326,0,1,3,1,2,120,0,1,4.0
2,307,0,2,1,2,2,2,41326,7,1,1,1,2,0,0,2,1.0
1,266,0,7,2,2,3,2,41401,0,2,4,1,1,0,0,1,7.0
2,265,0,7,2,2,2,2,41336,0,3,1,1,2,0,0,2,1.0
1,254,0,3,2,1,1,2,41326,7,1,12,1,2,0,0,1,1.0
1,266,0,7,2,2,2,1,41326,0,6,7,1,2,0,0,1,3.0
2,307,0,2,1,2,2,2,41327,0,1,1,1,2,0,0,2,1.0
2,264,265,6,2,2,2,2,41326,7,1,2,1,2,50,0,1,7.0
2,285,0,5,2,3,3,1,41326,7,3,3,1,2,200,0,3,4.0
1,307,0,2,1,2,2,1,41326,0,1,2,1,2,0,0,2,1.0
1,307,0,2,1,2,1,2,41326,0,1,72,1,2,0,0,1,2.0
1,266,0,7,2,2,2,3,41326,0,4,1,1,2,0,0,1,4.0
1,307,0,2,1,2,2,1,41326,0,1,8,1,2,0,0,2,2.0
3,195,0,7,1,2,1,2,41401,0,1,6,1,1,0,0,1,1.0
2,299,0,4,2,2,2,2,41401,7,3,1,1,2,0,0,2,5.0
1,266,0,0,2,2,1,2,41401,0,7,3,1,1,0,0,1,3.0
2,307,0,2,1,2,1,2,41326,0,1,4,1,2,0,0,1,4.0
2,264,251,6,2,2,1,1,41326,0,5,3,1,2,200,0,1,0.0
1,266,266,4,2,2,2,3,41326,6,1,4,1,2,0,0,2,4.0
2,307,0,2,1,2,1,3,41401,5,1,2,1,2,0,0,1,5.0
1,307,0,0,1,3,3,1,41401,0,2,4,1,2,0,0,1,1.0
2,307,152,3,1,2,1,1,41326,0,1,12,1,2,100,1,1,10.0
1,307,0,0,1,2,2,2,41401,0,1,1,1,3,0,0,1,3.0
2,307,0,0,1,3,3,1,41324,0,7,24,2,2,20,0,3,2.0
2,265,0,6,2,2,2,1,41401,7,3,1,1,2,0,1,1,9.0
1,266,266,4,2,2,2,2,41327,7,1,1,1,2,0,0,2,3.0
1,239,307,0,1,2,3,2,41326,0,2,2,1,2,0,0,3,3.0
2,265,266,7,2,2,1,2,41326,0,6,2,1,2,0,0,1,2.0
1,292,0,0,2,2,2,2,41326,0,5,2,1,2,0,0,2,2.0
1,266,0,6,2,2,2,3,41327,0,1,2,1,1,0,0,2,5.0
2,265,254,2,2,2,2,2,41326,7,1,3,1,2,0,0,1,4.0
1,266,0,0,2,2,2,2,41326,0,3,3,1,1,0,0,2,10.0
1,307,152,2,1,1,1,2,41327,0,1,24,1,2,0,0,1,2.0
1,307,0,0,1,2,1,2,41326,0,1,1,1,2,1,0,1,4.0
1,266,0,7,2,2,2,1,41326,0,4,1,1,2,0,0,1,10.0
2,265,0,6,2,2,1,3,41401,7,4,3,1,1,0,0,1,15.0
2,266,0,5,2,1,2,2,41326,0,2,10,1,2,0,0,1,1.0
1,179,0,0,1,3,1,2,41326,0,2,8,1,1,0,0,1,1.0
3,285,265,6,2,1,1,1,41326,7,1,9,1,3,0,0,1,3.0
3,285,0,7,2,1,1,1,41326,0,1,19,1,2,0,0,1,0.0
1,307,307,0,1,2,2,2,41327,0,2,1,1,2,0,0,2,1.0
1,307,0,0,1,2,2,1,41326,0,7,1,1,2,0,0,2,2.0
2,307,78,2,1,2,1,2,41326,0,1,3,1,3,0,0,1,5.0
1,266,0,7,2,2,2,2,41401,0,1,1,1,2,0,0,2,1.0
1,307,0,0,1,2,2,1,41326,0,2,2,1,2,0,0,2,1.0
1,141,0,0,1,2,1,1,41326,0,5,72,1,3,0,0,1,3.0
1,307,307,0,1,2,1,1,41326,0,2,1,1,2,0,0,1,7.0
1,307,307,0,1,2,2,1,41326,0,2,2,1,2,0,0,2,3.0
2,265,0,0,2,3,3,1,41326,0,2,4,1,1,0,0,3,4.0
1,307,0,7,1,3,2,2,41332,0,2,1,1,2,0,0,1,1.0
1,307,0,7,1,2,2,2,41401,0,2,2,1,2,0,0,2,2.0
1,307,307,2,1,2,2,3,41326,7,1,0,1,1,0,0,2,2.0
1,182,0,5,1,1,1,2,41326,0,1,53,2,2,0,0,1,1.0
1,307,0,5,1,1,1,1,41326,7,2,5,1,2,0,1,1,20.0
2,265,0,7,2,2,2,3,41326,0,1,2,1,1,0,0,1,13.0
2,292,265,5,2,2,2,1,41326,0,2,5,1,2,50,0,2,5.0
1,307,0,4,1,2,2,1,41326,0,1,24,1,2,0,0,2,2.0
1,307,141,0,1,2,2,2,41326,0,5,4,1,2,0,0,2,11.0
2,266,0,7,2,2,2,1,41326,0,3,2,1,2,0,0,2,1.0
1,266,0,6,2,2,2,3,41401,7,3,2,1,2,0,0,1,2.0
2,307,0,4,1,2,2,1,41326,5,3,36,1,2,0,0,2,1.0
1,307,0,7,1,2,2,2,41401,0,5,2,1,2,0,0,1,5.0
1,266,266,7,2,2,2,2,41326,0,6,4,1,1,0,0,2,3.0
1,243,0,2,2,2,2,1,41345,7,1,1,1,1,0,0,2,1.0
2,266,0,6,2,1,2,3,41415,7,3,10,1,1,0,0,2,3.0
2,307,0,4,2,2,2,3,41326,0,2,3,1,2,0,0,2,2.0
2,26,307,2,1,3,1,2,41326,0,1,4,1,2,0,0,1,3.0
1,299,292,5,2,2,2,2,41326,7,2,3,1,2,0,0,1,5.0
1,307,117,2,1,2,2,3,41326,7,1,3,1,2,0,0,2,4.0
1,266,0,4,2,1,1,2,41326,7,2,6,1,2,0,0,1,5.0
3,292,0,0,2,2,1,2,41326,0,7,2,1,1,0,0,1,0.0
1,307,0,7,1,3,2,2,41336,0,2,1,1,2,0,0,2,4.0
2,243,0,7,2,2,2,1,41401,0,1,4,1,2,0,0,1,3.0
1,307,307,0,1,2,2,1,41326,0,1,3,1,2,0,0,2,3.0
1,299,0,6,2,2,2,1,41326,0,1,12,1,2,0,0,1,3.0
1,307,0,0,1,2,2,2,41326,0,2,1,1,1,0,0,2,2.0
1,20,0,5,1,2,1,1,41401,7,2,22,1,2,0,0,1,0.0
2,307,307,7,1,2,2,2,41326,0,2,2,1,2,0,0,1,3.0
1,266,0,7,2,2,2,1,41401,0,4,5,1,2,0,0,1,8.0
1,307,0,4,1,2,2,2,41326,0,2,2,1,2,0,0,2,2.0
1,283,284,7,2,1,1,1,41326,0,2,5,1,2,0,0,1,2.0
1,307,307,4,1,2,2,2,41327,7,1,2,1,3,0,0,2,5.0
3,109,0,7,1,2,1,2,41327,0,3,84,1,2,0,0,1,2.0
2,265,0,6,2,2,1,2,41326,7,3,3,1,2,0,0,2,4.0
2,307,0,0,1,2,1,1,41326,0,2,2,1,2,0,0,1,3.0
1,307,0,7,1,3,3,1,41336,0,5,24,1,2,0,0,3,4.0
2,307,0,7,1,3,1,2,41324,0,2,2,1,2,0,0,1,1.0
2,20,0,2,1,3,3,1,41336,7,1,50,1,2,0,0,2,2.0
1,307,0,2,1,2,1,3,41401,0,1,2,1,2,0,0,1,6.0
2,243,266,7,2,2,1,2,41326,0,5,4,1,1,80,0,1,13.0
1,307,0,2,1,2,2,1,41401,0,1,2,1,2,0,0,2,3.0
1,266,0,0,2,2,2,1,41401,0,4,1,1,1,9,0,2,3.0
2,266,0,4,2,1,2,3,41401,5,1,17,1,2,0,0,3,2.0
1,266,0,7,2,2,2,2,41330,0,1,2,1,2,0,0,1,3.0
1,307,0,2,1,2,2,1,41401,0,1,2,1,2,0,0,2,4.0
1,266,0,0,2,2,2,2,41325,0,2,4,1,2,0,0,1,1.0
2,265,0,2,2,2,2,2,41326,5,1,1,1,2,0,0,2,16.0
1,307,0,7,1,2,2,2,41326,0,2,2,1,2,0,0,2,1.0
1,20,0,2,1,2,1,1,41326,7,1,4,1,2,600,0,1,1.0
2,265,0,0,2,3,3,1,41327,0,5,2,1,1,0,0,3,6.0
1,266,264,7,2,2,2,3,41326,0,2,3,2,1,10,0,1,2.0
1,266,0,7,2,3,3,2,41327,0,6,6,1,2,0,0,3,7.0
1,307,0,0,1,2,1,2,41326,0,2,12,1,1,0,0,1,0.0
1,266,0,7,2,1,3,1,41401,0,5,12,1,1,0,0,1,5.0
1,307,0,0,1,2,2,2,41327,0,7,1,1,2,0,0,2,3.0
2,205,307,5,1,3,3,2,41336,0,2,72,1,1,0,0,3,1.0
1,72,307,0,1,1,1,2,41401,0,5,7,1,2,120,1,1,25.0
2,307,307,2,1,2,2,3,41326,7,1,2,1,2,50,0,2,9.0
1,128,0,7,1,2,1,2,41401,0,2,8,1,1,0,0,1,2.0
2,307,0,2,1,2,2,1,41326,7,1,2,1,2,0,0,2,5.0
2,307,307,7,1,3,3,1,41326,0,2,4,1,2,0,0,3,1.0
2,141,0,0,1,1,1,2,41326,0,5,72,1,3,700,0,1,6.0
1,266,0,2,2,2,2,2,41326,3,1,1,1,2,0,1,2,18.0
1,307,307,7,1,1,1,2,41326,0,1,48,1,2,0,0,1,3.0
1,307,0,2,1,1,1,1,41401,0,1,9,1,2,0,0,1,5.0
1,307,307,2,1,1,1,2,41332,7,1,12,1,2,100,0,1,2.0
2,265,0,0,2,2,2,2,41326,0,2,1,1,1,0,0,1,2.0
2,179,0,0,1,2,1,1,41326,0,2,9,1,1,0,0,1,3.0
2,285,0,0,2,2,1,2,41401,0,1,1,1,1,0,0,1,1.0
2,265,267,6,2,2,2,3,41326,7,1,0,1,2,100,0,2,2.0
2,285,266,2,2,2,2,2,41401,7,1,1,1,1,0,0,1,2.0
1,307,0,7,1,3,1,2,41326,0,2,10,1,1,0,0,1,5.0
